ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781728443,node,0,NA,66.7,33.3,0.0
1781728443,gateway,0,NA,50.0,50.0,0.0
1781728443,node,4,NA,33.3,66.7,0.0
1781728443,gateway,2,NA,100.0,0.0,0.0
1781728443,node,1,NA,50.0,25.0,0.0
1781728443,node,3,NA,100.0,0.0,0.0
1781728443,gateway,4,NA,66.7,33.3,0.0
1781728443,node,2,NA,75.0,16.7,0.0
1781728443,gateway,3,NA,100.0,0.0,0.0
1781728443,gateway,1,NA,83.3,16.7,0.0
1781728452,node,1,0.4,0.0,0.0,NA
1781728452,node,0,0.6,0.0,0.0,NA
1781728452,gateway,0,NA,100.0,0.0,0.0
1781728452,node,3,0.4,0.0,NA,0.0
1781728452,node,2,0.5,0.0,NA,0.0
1781728453,gateway,3,NA,0.0,0.0,NA
1781728453,gateway,2,NA,50.0,50.0,0.0
1781728453,gateway,4,NA,100.0,0.0,0.0
1781728453,gateway,1,NA,75.0,25.0,0.0
1781728453,node,4,0.3,0.0,NA,0.0
1781728461,node,2,2.0,0.0,0.0,NA
1781728461,gateway,4,NA,80.0,20.0,0.0
1781728462,gateway,0,13.3,0.0,0.0,NA
1781728462,gateway,2,NA,50.0,50.0,0.0
1781728462,gateway,3,NA,100.0,0.0,0.0
1781728462,node,4,1.2,0.0,0.0,NA
1781728462,gateway,1,14.2,0.0,0.0,NA
1781728462,node,1,1.7,0.0,0.0,NA
1781728462,node,0,1.2,50.0,0.0,0.0
1781728462,node,3,1.9,100.0,0.0,0.0
1781728471,gateway,3,0.3,0.0,0.0,NA
1781728471,node,0,7.9,0.0,0.0,NA
1781728471,node,3,12.8,0.0,0.0,NA
1781728471,node,4,11.5,0.0,NA,0.0
1781728471,node,2,16.9,0.0,NA,0.0
1781728471,gateway,1,10.4,0.0,0.0,NA
1781728471,node,1,10.9,0.0,0.0,NA
1781728471,gateway,0,31.6,0.0,NA,0.0
1781728471,gateway,4,0.7,50.0,50.0,0.0
1781728471,gateway,2,3.3,0.0,0.0,NA
1781728480,gateway,3,0.3,0.0,0.0,NA
1781728480,node,0,13.2,0.0,NA,0.0
1781728480,gateway,1,11.8,100.0,0.0,0.0
1781728480,node,4,20.0,0.0,NA,0.0
1781728480,gateway,2,3.4,0.0,0.0,NA
1781728480,node,1,19.0,0.0,50.0,50.0
1781728480,node,2,27.8,0.0,NA,0.0
1781728480,gateway,4,0.5,0.0,0.0,NA
1781728480,node,3,22.7,0.0,50.0,50.0
1781728480,gateway,0,39.7,100.0,0.0,0.0
1781728489,node,0,17.1,100.0,0.0,0.0
1781728489,gateway,0,45.7,50.0,50.0,0.0
1781728489,gateway,2,3.7,0.0,0.0,NA
1781728489,node,2,36.0,33.3,33.3,33.3
1781728489,node,4,26.6,0.0,50.0,50.0
1781728489,gateway,1,13.3,0.0,0.0,NA
1781728489,node,3,30.0,100.0,0.0,0.0
1781728489,node,1,25.0,100.0,0.0,0.0
1781728489,gateway,3,0.3,100.0,0.0,0.0
1781728489,gateway,4,0.6,100.0,0.0,0.0
1781728497,gateway,2,4.0,0.0,NA,0.0
1781728497,node,3,36.3,0.0,0.0,NA
1781728498,gateway,3,0.3,0.0,0.0,NA
1781728498,node,1,30.1,0.0,NA,0.0
1781728498,node,0,20.8,100.0,0.0,0.0
1781728498,gateway,4,0.7,50.0,0.0,50.0
1781728498,node,2,42.4,50.0,50.0,0.0
1781728498,gateway,1,14.6,100.0,0.0,0.0
1781728498,node,4,32.2,0.0,NA,0.0
1781728498,gateway,0,51.5,100.0,0.0,0.0
1781728507,node,2,48.0,0.0,NA,0.0
1781728507,gateway,3,0.3,0.0,0.0,NA
1781728507,node,4,37.1,100.0,0.0,0.0
1781728507,gateway,1,16.1,50.0,0.0,50.0
1781728507,gateway,4,0.7,0.0,0.0,NA
1781728507,node,0,24.1,0.0,NA,0.0
1781728507,gateway,2,4.5,0.0,50.0,50.0
1781728507,gateway,0,56.1,50.0,50.0,0.0
1781728507,node,3,42.1,50.0,50.0,0.0
1781728507,node,1,34.8,50.0,50.0,0.0
1781728515,node,4,42.0,100.0,0.0,0.0
1781728515,gateway,4,0.8,0.0,0.0,NA
1781728515,gateway,3,0.3,0.0,0.0,NA
1781728515,node,0,27.0,0.0,50.0,50.0
1781728515,gateway,1,17.5,0.0,0.0,NA
1781728515,gateway,0,60.5,80.0,20.0,0.0
1781728516,gateway,2,4.9,0.0,NA,0.0
1781728516,node,2,53.5,50.0,0.0,50.0
1781728516,node,3,47.3,100.0,0.0,0.0
1781728516,node,1,38.9,0.0,0.0,NA
1781728524,node,2,58.6,100.0,0.0,0.0
1781728524,gateway,3,0.3,0.0,0.0,NA
1781728524,gateway,2,5.2,0.0,50.0,50.0
1781728524,node,4,46.5,100.0,0.0,0.0
1781728524,gateway,4,0.8,0.0,NA,0.0
1781728524,gateway,0,64.8,0.0,0.0,50.0
1781728524,node,0,29.7,100.0,0.0,0.0
1781728524,gateway,1,19.2,0.0,NA,0.0
1781728524,node,3,52.1,0.0,NA,0.0
1781728524,node,1,42.7,0.0,0.0,NA
1781728533,node,4,50.4,100.0,0.0,0.0
1781728533,gateway,1,20.3,100.0,0.0,0.0
1781728533,node,2,63.3,0.0,0.0,50.0
1781728533,node,1,46.2,50.0,0.0,50.0
1781728533,node,0,32.4,50.0,50.0,0.0
1781728533,gateway,2,5.6,0.0,0.0,NA
1781728533,gateway,0,68.7,0.0,NA,0.0
1781728533,gateway,3,0.3,0.0,50.0,50.0
1781728533,node,3,56.7,0.0,0.0,NA
1781728533,gateway,4,0.9,0.0,NA,0.0
1781728542,gateway,1,21.4,0.0,50.0,50.0
1781728542,gateway,3,0.3,0.0,NA,0.0
1781728542,node,0,34.7,50.0,0.0,50.0
1781728542,node,4,54.6,50.0,50.0,0.0
1781728542,gateway,2,5.9,0.0,50.0,50.0
1781728542,gateway,4,0.9,100.0,0.0,0.0
1781728542,gateway,0,72.3,0.0,NA,0.0
1781728542,node,1,49.9,0.0,NA,0.0
1781728542,node,2,67.4,0.0,0.0,0.0
1781728542,node,3,61.1,66.7,33.3,0.0
1781728551,node,1,53.0,100.0,0.0,0.0
1781728551,gateway,3,0.3,0.0,0.0,NA
1781728551,gateway,2,6.4,0.0,0.0,NA
1781728551,node,3,65.0,33.3,66.7,0.0
1781728551,gateway,4,1.0,0.0,0.0,NA
1781728551,gateway,0,75.6,66.7,33.3,0.0
1781728551,node,4,58.0,100.0,0.0,0.0
1781728551,gateway,1,22.6,100.0,0.0,0.0
1781728551,node,0,37.2,50.0,50.0,0.0
1781728551,node,2,71.6,50.0,0.0,0.0
1781728559,gateway,2,6.7,0.0,50.0,50.0
1781728560,node,2,74.9,100.0,0.0,0.0
1781728560,gateway,3,0.3,0.0,NA,0.0
1781728560,node,1,56.5,0.0,NA,0.0
1781728560,gateway,0,79.1,50.0,0.0,0.0
1781728560,node,0,39.7,50.0,50.0,0.0
1781728560,node,4,61.9,0.0,50.0,0.0
1781728560,gateway,1,23.8,0.0,0.0,NA
1781728560,gateway,4,1.0,0.0,0.0,NA
1781728560,node,3,69.2,0.0,NA,0.0
1781728569,gateway,3,0.3,0.0,0.0,NA
1781728569,gateway,1,25.0,0.0,0.0,50.0
1781728569,gateway,4,1.1,0.0,0.0,NA
1781728569,node,4,65.2,0.0,0.0,NA
1781728569,gateway,2,7.1,0.0,0.0,NA
1781728569,gateway,0,82.3,50.0,50.0,0.0
1781728569,node,0,41.9,0.0,NA,0.0
1781728569,node,1,59.7,0.0,NA,0.0
1781728569,node,2,78.3,0.0,NA,0.0
1781728569,node,3,72.6,0.0,0.0,NA
1781728577,node,3,75.8,50.0,50.0,0.0
1781728578,gateway,4,1.1,0.0,0.0,NA
1781728578,node,1,62.5,50.0,50.0,0.0
1781728578,node,2,81.5,50.0,50.0,0.0
1781728578,gateway,3,0.3,0.0,50.0,50.0
1781728578,gateway,1,26.2,0.0,0.0,NA
1781728578,node,0,44.1,0.0,NA,0.0
1781728578,gateway,2,7.4,100.0,0.0,0.0
1781728578,node,4,68.6,0.0,NA,0.0
1781728578,gateway,0,85.2,50.0,50.0,0.0
1781728587,gateway,4,1.2,0.0,0.0,NA
1781728587,node,2,84.4,100.0,0.0,0.0
1781728587,gateway,1,27.3,25.0,50.0,25.0
1781728587,node,0,46.1,33.3,33.3,33.3
1781728587,gateway,2,7.8,0.0,0.0,NA
1781728587,gateway,0,87.9,0.0,NA,0.0
1781728587,node,3,79.0,80.0,0.0,0.0
1781728587,gateway,3,0.3,0.0,50.0,50.0
1781728587,node,4,71.9,100.0,0.0,0.0
1781728587,node,1,65.1,50.0,50.0,0.0
1781728596,node,4,75.1,0.0,NA,0.0
1781728596,gateway,1,28.5,0.0,50.0,0.0
1781728596,node,0,48.2,33.3,33.3,33.3
1781728596,node,1,67.8,0.0,NA,0.0
1781728596,gateway,2,8.2,0.0,0.0,NA
1781728596,node,3,82.0,50.0,50.0,0.0
1781728596,gateway,3,0.3,0.0,50.0,50.0
1781728596,gateway,4,1.2,0.0,0.0,NA
1781728596,gateway,0,90.4,33.3,33.3,0.0
1781728596,node,2,87.4,33.3,33.3,0.0
1781728605,gateway,2,8.6,0.0,0.0,NA
1781728605,gateway,4,1.4,0.0,0.0,NA
1781728605,node,2,90.1,0.0,NA,0.0
1781728605,gateway,0,92.9,50.0,50.0,0.0
1781728605,node,3,84.9,33.3,66.7,0.0
1781728605,gateway,1,29.4,100.0,0.0,0.0
1781728605,node,0,50.4,0.0,NA,0.0
1781728605,node,1,70.3,0.0,50.0,50.0
1781728605,gateway,3,0.5,0.0,0.0,NA
1781728605,node,4,78.3,50.0,50.0,0.0
1781728614,node,1,72.9,0.0,NA,0.0
1781728614,gateway,3,0.6,0.0,NA,0.0
1781728614,gateway,4,1.5,0.0,0.0,NA
1781728614,node,3,87.9,50.0,50.0,0.0
1781728614,gateway,2,9.0,0.0,50.0,50.0
1781728614,gateway,1,30.5,0.0,0.0,NA
1781728614,node,4,81.7,0.0,0.0,50.0
1781728614,node,2,93.0,33.3,0.0,33.3
1781728614,node,0,52.3,0.0,0.0,NA
1781728614,gateway,0,95.4,0.0,50.0,0.0
1781728623,node,0,53.8,50.0,50.0,0.0
1781728623,node,3,90.5,60.0,20.0,0.0
1781728623,gateway,4,1.9,0.0,0.0,NA
1781728623,gateway,3,1.1,0.0,NA,0.0
1781728623,gateway,1,31.5,0.0,NA,0.0
1781728623,node,4,84.7,33.3,33.3,0.0
1781728623,gateway,2,9.6,50.0,0.0,50.0
1781728623,node,1,75.1,33.3,33.3,0.0
1781728623,node,2,95.5,66.7,33.3,0.0
1781728623,gateway,0,97.3,0.0,0.0,NA
1781728632,gateway,4,2.4,100.0,0.0,0.0
1781728632,node,2,97.9,33.3,33.3,33.3
1781728632,node,1,77.1,100.0,0.0,0.0
1781728632,gateway,3,1.5,0.0,50.0,50.0
1781728632,gateway,0,99.1,50.0,0.0,0.0
1781728632,gateway,2,10.1,50.0,0.0,50.0
1781728632,node,0,55.3,0.0,50.0,50.0
1781728632,node,3,92.8,0.0,NA,0.0
1781728632,node,4,87.2,0.0,50.0,0.0
1781728632,gateway,1,32.5,100.0,0.0,0.0
1781728640,gateway,4,2.9,0.0,50.0,50.0
1781728640,node,4,89.7,100.0,0.0,0.0
1781728640,node,1,78.9,50.0,50.0,0.0
1781728640,gateway,3,2.0,0.0,0.0,NA
1781728640,gateway,1,33.4,33.3,33.3,33.3
1781728640,gateway,2,10.7,0.0,0.0,NA
1781728640,node,3,95.2,100.0,0.0,0.0
1781728640,node,0,56.6,50.0,0.0,25.0
1781728640,gateway,0,100,100.0,0.0,0.0
1781728640,node,2,100,66.7,33.3,0.0
1781728649,gateway,4,3.5,0.0,50.0,50.0
1781728649,node,4,92.2,50.0,50.0,0.0
1781728649,node,2,102,50.0,50.0,0.0
1781728649,gateway,1,34.2,0.0,NA,0.0
1781728649,node,1,80.9,50.0,0.0,0.0
1781728649,gateway,2,11.3,0.0,50.0,50.0
1781728649,gateway,0,102,100.0,0.0,0.0
1781728649,node,3,97.7,100.0,0.0,0.0
1781728649,gateway,3,2.6,0.0,0.0,NA
1781728649,node,0,58.0,0.0,NA,0.0
1781728658,gateway,4,4.1,100.0,0.0,0.0
1781728658,gateway,0,102,100.0,0.0,0.0
1781728658,node,3,99.3,100.0,0.0,0.0
1781728658,gateway,1,34.7,0.0,50.0,50.0
1781728658,gateway,3,3.3,0.0,0.0,NA
