ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781734057,node,0,NA,75.0,25.0,0.0
1781734057,gateway,1,NA,0.0,50.0,50.0
1781734057,gateway,0,NA,100.0,0.0,0.0
1781734057,gateway,3,NA,100.0,0.0,0.0
1781734057,node,4,NA,75.0,25.0,0.0
1781734057,gateway,2,NA,75.0,25.0,0.0
1781734057,node,1,NA,80.0,20.0,0.0
1781734057,node,3,NA,100.0,0.0,0.0
1781734057,gateway,4,NA,66.7,33.3,0.0
1781734058,node,2,NA,96.0,4.0,0.0
1781734065,node,1,NA,50.0,50.0,0.0
1781734065,gateway,0,NA,50.0,50.0,0.0
1781734066,node,0,NA,100.0,0.0,0.0
1781734066,gateway,2,NA,80.0,20.0,0.0
1781734066,gateway,4,NA,100.0,0.0,0.0
1781734066,node,3,NA,50.0,50.0,0.0
1781734066,node,4,NA,50.0,50.0,0.0
1781734066,gateway,1,NA,100.0,0.0,0.0
1781734066,gateway,3,NA,100.0,0.0,0.0
1781734066,node,2,NA,75.0,25.0,0.0
1781734074,node,2,0.0,0.0,NA,0.0
1781734074,node,0,0.2,0.0,0.0,NA
1781734074,gateway,4,NA,66.7,33.3,0.0
1781734074,gateway,0,NA,0.0,NA,0.0
1781734074,node,1,0.0,0.0,NA,0.0
1781734074,node,4,0.4,0.0,NA,0.0
1781734074,gateway,3,NA,66.7,33.3,0.0
1781734074,gateway,1,NA,100.0,0.0,0.0
1781734074,node,3,NA,0.0,NA,0.0
1781734074,gateway,2,NA,100.0,0.0,0.0
1781734082,node,3,0.4,0.0,50.0,50.0
1781734082,gateway,1,NA,50.0,50.0,0.0
1781734082,node,4,0.4,0.0,0.0,NA
1781734082,node,2,0.4,0.0,0.0,NA
1781734082,gateway,4,NA,50.0,50.0,0.0
1781734082,node,0,0.3,0.0,0.0,NA
1781734082,node,1,0.3,0.0,0.0,NA
1781734082,gateway,0,NA,100.0,0.0,0.0
1781734082,gateway,3,NA,50.0,50.0,0.0
1781734083,gateway,2,70.7,100.0,0.0,0.0
1781734091,gateway,3,107,50.0,0.0,0.0
1781734091,gateway,4,1.1,0.0,NA,0.0
1781734091,node,1,26.6,0.0,0.0,NA
1781734091,gateway,0,33.2,100.0,0.0,0.0
1781734091,node,0,21.6,0.0,50.0,50.0
1781734091,node,2,18.0,0.0,NA,0.0
1781734091,node,3,28.9,0.0,33.3,33.3
1781734091,gateway,2,120,0.0,0.0,NA
1781734091,node,4,27.7,0.0,NA,0.0
1781734091,gateway,1,NA,0.0,NA,0.0
1781734099,gateway,3,114,100.0,0.0,0.0
1781734099,node,3,43.9,50.0,50.0,0.0
1781734099,gateway,4,1.1,0.0,0.0,NA
1781734099,gateway,0,37.9,100.0,0.0,0.0
1781734099,gateway,1,0.1,50.0,0.0,50.0
1781734099,node,1,40.8,33.3,33.3,0.0
1781734099,node,0,35.5,100.0,0.0,0.0
1781734099,gateway,2,130,33.3,66.7,0.0
1781734099,node,2,29.5,0.0,NA,0.0
1781734099,node,4,44.8,0.0,NA,0.0
1781734107,node,3,54.0,50.0,50.0,0.0
1781734107,node,1,51.0,0.0,50.0,50.0
1781734108,node,4,56.4,33.3,33.3,0.0
1781734108,node,2,37.3,50.0,0.0,50.0
1781734108,gateway,4,1.3,50.0,0.0,50.0
1781734108,node,0,46.2,50.0,0.0,0.0
1781734108,gateway,2,143,50.0,50.0,0.0
1781734108,gateway,1,0.3,50.0,0.0,50.0
1781734108,gateway,0,42.8,0.0,0.0,50.0
1781734108,gateway,3,124,66.7,33.3,0.0
1781734115,node,1,59.1,0.0,NA,0.0
