ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781732399,gateway,0,11.9,0.0,0.0,NA
1781732399,gateway,1,13.3,0.0,50.0,50.0
1781732399,gateway,2,13.6,0.0,NA,0.0
1781732399,node,1,8.6,100.0,0.0,0.0
1781732399,node,2,8.9,100.0,0.0,0.0
1781732399,node,0,9.6,0.0,0.0,NA
1781732407,node,1,8.0,0.0,NA,0.0
1781732407,node,0,8.9,0.0,0.0,NA
1781732407,gateway,2,12.2,0.0,0.0,NA
1781732407,node,2,8.3,0.0,0.0,NA
1781732407,gateway,1,11.8,0.0,NA,0.0
1781732407,gateway,0,10.7,0.0,0.0,NA
1781732415,node,1,7.4,33.3,33.3,33.3
1781732415,gateway,1,10.7,0.0,NA,0.0
1781732415,gateway,2,11.0,0.0,0.0,NA
1781732415,node,0,8.3,0.0,0.0,NA
1781732415,gateway,0,9.8,0.0,0.0,NA
1781732415,node,2,7.7,0.0,0.0,NA
1781732423,node,2,9.0,50.0,0.0,50.0
1781732423,node,1,8.7,0.0,50.0,50.0
1781732423,gateway,1,12.3,50.0,50.0,0.0
1781732423,gateway,2,12.9,50.0,0.0,50.0
1781732423,node,0,9.7,0.0,NA,0.0
1781732423,gateway,0,11.4,0.0,0.0,NA
1781732431,node,2,10.5,50.0,0.0,50.0
1781732431,gateway,0,13.1,0.0,50.0,50.0
1781732431,node,0,11.2,33.3,33.3,33.3
1781732431,gateway,1,14.1,100.0,0.0,0.0
1781732431,node,1,10.1,0.0,0.0,NA
1781732431,gateway,2,14.8,100.0,0.0,0.0
1781732438,node,1,12.1,50.0,0.0,50.0
1781732438,gateway,1,16.6,0.0,NA,0.0
1781732438,node,0,13.3,0.0,50.0,0.0
1781732438,gateway,0,15.8,0.0,NA,0.0
1781732438,gateway,2,17.9,0.0,0.0,NA
1781732439,node,2,12.7,100.0,0.0,0.0
1781732446,gateway,1,19.6,0.0,50.0,50.0
1781732446,node,1,14.3,0.0,0.0,NA
1781732446,node,0,15.7,33.3,33.3,33.3
1781732446,node,2,15.1,0.0,50.0,50.0
1781732446,gateway,2,21.5,100.0,0.0,0.0
1781732446,gateway,0,19.1,100.0,0.0,0.0
1781732454,gateway,1,23.0,50.0,0.0,50.0
1781732454,node,2,17.8,33.3,33.3,33.3
1781732454,node,0,18.4,0.0,0.0,NA
1781732454,node,1,16.8,50.0,50.0,0.0
1781732454,gateway,0,22.6,0.0,NA,0.0
1781732454,gateway,2,25.6,0.0,NA,0.0
1781732462,gateway,1,26.7,33.3,33.3,33.3
1781732462,node,1,19.4,0.0,50.0,50.0
1781732462,gateway,2,29.7,100.0,0.0,0.0
1781732462,node,0,21.2,0.0,0.0,NA
1781732462,gateway,0,26.5,0.0,50.0,50.0
1781732462,node,2,20.6,50.0,50.0,0.0
1781732469,node,2,23.5,50.0,50.0,0.0
1781732469,node,0,24.1,50.0,50.0,0.0
1781732469,gateway,2,33.7,33.3,66.7,0.0
1781732469,gateway,1,30.4,100.0,0.0,0.0
1781732469,node,1,22.2,0.0,50.0,50.0
