ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781785963,node,0,0.4,0.0,25.0,75.0
1781785964,gateway,0,0.2,0.0,20.0,40.0
1781785971,gateway,0,0.2,0.0,50.0,50.0
1781785971,node,0,0.4,25.0,25.0,50.0
1781785978,node,0,1.4,50.0,0.0,50.0
1781785978,gateway,0,1.5,25.0,25.0,25.0
1781785985,node,0,4.0,0.0,0.0,50.0
1781785985,gateway,0,4.9,0.0,33.3,66.7
1781785993,node,0,7.1,33.3,0.0,66.7
1781785993,gateway,0,8.5,0.0,33.3,66.7
1781786000,node,0,11.0,50.0,0.0,50.0
1781786000,gateway,0,12.8,50.0,0.0,50.0
1781786007,node,0,15.4,0.0,50.0,50.0
1781786007,gateway,0,17.4,20.0,20.0,20.0
1781786014,gateway,0,22.3,20.0,20.0,20.0
1781786014,node,0,20.3,66.7,0.0,33.3
1781786022,node,0,25.7,66.7,33.3,0.0
1781786022,gateway,0,28.2,33.3,33.3,33.3
1781786029,gateway,0,33.8,50.0,25.0,25.0
1781786029,node,0,31.4,33.3,33.3,33.3
1781786036,node,0,37.6,50.0,25.0,25.0
1781786036,gateway,0,40.0,33.3,33.3,16.7
1781786043,node,0,41.5,66.7,33.3,0.0
1781786044,gateway,0,47.6,14.3,57.1,0.0
1781786051,node,0,41.4,50.0,0.0,50.0
1781786051,gateway,0,56.9,40.0,60.0,0.0
1781786058,node,0,41.4,0.0,25.0,50.0
1781786058,gateway,0,65.1,9.1,81.8,0.0
1781786066,node,0,41.3,0.0,0.0,NA
1781786066,gateway,0,73.5,20.0,80.0,0.0
1781786073,node,0,41.3,33.3,0.0,66.7
1781786073,gateway,0,81.3,12.5,87.5,0.0
1781786081,node,0,40.5,0.0,50.0,50.0
1781786082,gateway,0,89.4,0.0,NA,0.0
1781786089,node,0,39.8,0.0,50.0,50.0
1781786090,gateway,0,97.6,0.0,NA,0.0
1781786097,node,0,39.3,0.0,0.0,NA
1781786098,gateway,0,104,0.0,NA,0.0
1781786105,node,0,39.1,0.0,0.0,NA
1781786106,gateway,0,112,12.5,75.0,0.0
1781786114,node,0,38.8,0.0,0.0,66.7
1781786115,gateway,0,118,0.0,NA,0.0
1781786122,node,0,38.5,0.0,50.0,50.0
1781786122,gateway,0,124,0.0,80.0,10.0
1781786130,node,0,38.5,0.0,0.0,66.7
1781786130,gateway,0,130,0.0,NA,0.0
1781786137,node,0,38.7,0.0,33.3,66.7
1781786138,gateway,0,136,0.0,NA,0.0
1781786145,node,0,38.2,0.0,0.0,NA
1781786147,gateway,0,142,0.0,NA,0.0
1781786154,node,0,37.6,33.3,0.0,66.7
1781786155,gateway,0,147,50.0,25.0,12.5
1781786162,node,0,37.1,0.0,50.0,50.0
1781786163,gateway,0,152,0.0,NA,0.0
1781786171,node,0,37.1,50.0,25.0,25.0
1781786171,gateway,0,157,0.0,NA,0.0
1781786179,node,0,36.9,0.0,0.0,NA
1781786181,gateway,0,163,12.5,87.5,0.0
1781786188,node,0,36.6,33.3,0.0,66.7
1781786189,gateway,0,167,14.3,71.4,0.0
1781786196,node,0,36.5,0.0,50.0,50.0
1781786196,gateway,0,171,0.0,NA,0.0
1781786203,node,0,36.3,0.0,33.3,66.7
1781786204,gateway,0,175,60.0,40.0,0.0
1781786211,node,0,36.0,0.0,33.3,33.3
1781786212,gateway,0,179,0.0,NA,0.0
1781786219,node,0,35.6,0.0,0.0,NA
1781786220,gateway,0,183,0.0,NA,0.0
1781786227,node,0,35.3,0.0,33.3,66.7
1781786228,gateway,0,186,0.0,90.0,0.0
1781786235,node,0,35.3,0.0,33.3,66.7
1781786236,gateway,0,190,0.0,80.0,0.0
1781786243,node,0,35.0,0.0,0.0,NA
1781786243,gateway,0,193,10.0,90.0,0.0
1781786251,node,0,34.6,0.0,0.0,NA
1781786252,gateway,0,197,0.0,NA,0.0
1781786259,node,0,34.3,0.0,0.0,NA
1781786260,gateway,0,200,10.0,80.0,0.0
1781786267,node,0,34.0,0.0,0.0,66.7
1781786267,gateway,0,203,20.0,80.0,0.0
1781786274,node,0,33.9,0.0,33.3,66.7
1781786275,gateway,0,206,66.7,33.3,0.0
1781786282,node,0,33.8,0.0,0.0,NA
1781786283,gateway,0,209,42.9,57.1,0.0
1781786290,node,0,33.5,0.0,0.0,NA
1781786290,gateway,0,211,50.0,25.0,0.0
1781786298,node,0,34.0,33.3,0.0,66.7
1781786298,gateway,0,214,0.0,NA,0.0
1781786306,node,0,33.9,0.0,0.0,NA
1781786306,gateway,0,217,0.0,NA,0.0
1781786314,node,0,33.6,0.0,0.0,NA
1781786314,gateway,0,219,0.0,NA,0.0
1781786323,node,0,33.6,0.0,50.0,50.0
1781786323,gateway,0,222,0.0,NA,0.0
1781786330,node,0,33.5,33.3,33.3,33.3
1781786331,gateway,0,225,50.0,50.0,0.0
1781786339,node,0,33.5,0.0,0.0,NA
1781786339,gateway,0,227,80.0,20.0,0.0
1781786346,node,0,33.4,0.0,0.0,NA
1781786346,gateway,0,229,9.1,90.9,0.0
1781786354,node,0,33.4,0.0,0.0,NA
1781786354,gateway,0,231,0.0,85.7,0.0
1781786361,node,0,33.3,0.0,0.0,NA
1781786362,gateway,0,234,66.7,33.3,0.0
1781786369,node,0,33.1,33.3,33.3,33.3
1781786370,gateway,0,236,14.3,85.7,0.0
1781786377,node,0,33.0,0.0,0.0,NA
1781786378,gateway,0,238,0.0,NA,0.0
1781786386,gateway,0,238,0.0,0.0,NA
1781786386,node,0,32.9,0.0,33.3,66.7
