ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781736292,node,0,0.3,0.0,25.0,50.0
1781736292,gateway,0,NA,0.0,25.0,75.0
1781736299,node,0,0.3,0.0,0.0,NA
1781736299,gateway,0,NA,60.0,40.0,0.0
1781736306,node,0,0.3,0.0,0.0,NA
1781736306,gateway,0,NA,0.0,50.0,50.0
1781736314,node,0,20.5,33.3,33.3,33.3
1781736314,gateway,0,99.5,0.0,0.0,NA
1781736321,node,0,47.9,0.0,50.0,50.0
1781736321,gateway,0,109,50.0,25.0,25.0
1781736328,gateway,0,120,33.3,33.3,33.3
1781736328,node,0,71.3,66.7,0.0,33.3
1781736336,node,0,91.3,0.0,50.0,50.0
1781736336,gateway,0,130,33.3,33.3,33.3
1781736343,node,0,109,50.0,0.0,25.0
1781736343,gateway,0,141,0.0,50.0,50.0
1781736350,node,0,126,66.7,33.3,0.0
1781736351,gateway,0,152,33.3,33.3,16.7
1781736358,node,0,142,25.0,50.0,0.0
1781736358,gateway,0,163,100.0,0.0,0.0
1781736365,node,0,160,100.0,0.0,0.0
1781736365,gateway,0,177,57.1,28.6,0.0
1781736373,node,0,162,0.0,NA,0.0
1781736373,gateway,0,202,0.0,80.0,0.0
1781736380,node,0,155,0.0,0.0,NA
1781736380,gateway,0,222,0.0,NA,0.0
1781736388,gateway,0,238,33.3,50.0,0.0
1781736388,node,0,146,25.0,75.0,0.0
1781736395,node,0,143,0.0,0.0,NA
1781736396,gateway,0,253,0.0,NA,0.0
1781736403,node,0,134,0.0,0.0,NA
1781736404,gateway,0,265,0.0,NA,0.0
1781736412,node,0,125,0.0,33.3,66.7
1781736412,gateway,0,275,0.0,NA,0.0
1781736419,node,0,118,0.0,0.0,NA
1781736420,gateway,0,284,0.0,NA,0.0
1781736428,node,0,114,0.0,25.0,50.0
1781736429,gateway,0,292,16.7,83.3,0.0
1781736436,node,0,109,0.0,0.0,NA
1781736436,gateway,0,298,0.0,NA,0.0
1781736444,node,0,104,0.0,50.0,50.0
1781736444,gateway,0,304,20.0,80.0,0.0
1781736451,node,0,101,0.0,0.0,NA
1781736451,gateway,0,308,12.5,87.5,0.0
1781736459,node,0,98.5,33.3,0.0,33.3
1781736459,gateway,0,313,0.0,NA,0.0
1781736466,node,0,95.0,50.0,0.0,50.0
1781736467,gateway,0,317,20.0,80.0,0.0
1781736474,node,0,91.3,0.0,0.0,NA
1781736475,gateway,0,321,0.0,85.7,0.0
1781736482,node,0,88.3,0.0,0.0,NA
1781736483,gateway,0,324,33.3,33.3,0.0
1781736490,node,0,86.1,71.4,14.3,0.0
1781736490,gateway,0,327,0.0,NA,0.0
1781736498,node,0,83.6,0.0,0.0,NA
1781736498,gateway,0,330,75.0,25.0,0.0
1781736506,node,0,81.5,0.0,0.0,NA
1781736506,gateway,0,333,20.0,80.0,0.0
1781736513,node,0,79.2,0.0,0.0,NA
1781736513,gateway,0,335,0.0,NA,0.0
1781736521,node,0,77.4,0.0,0.0,NA
1781736521,gateway,0,337,0.0,NA,0.0
1781736528,node,0,76.1,33.3,0.0,66.7
1781736528,gateway,0,339,60.0,20.0,0.0
1781736536,node,0,74.4,0.0,0.0,NA
1781736536,gateway,0,341,0.0,NA,0.0
1781736543,node,0,72.6,0.0,0.0,NA
1781736544,gateway,0,343,12.5,87.5,0.0
1781736551,node,0,71.3,100.0,0.0,0.0
1781736551,gateway,0,344,87.5,12.5,0.0
1781736559,node,0,69.7,0.0,0.0,NA
1781736560,gateway,0,346,50.0,25.0,0.0
1781736567,node,0,68.3,0.0,0.0,NA
1781736568,gateway,0,347,0.0,NA,0.0
1781736575,node,0,66.7,0.0,0.0,NA
1781736575,gateway,0,349,0.0,NA,0.0
1781736583,node,0,65.4,50.0,0.0,50.0
1781736583,gateway,0,350,0.0,NA,0.0
1781736590,node,0,64.2,0.0,0.0,NA
1781736590,gateway,0,351,0.0,NA,0.0
1781736598,gateway,0,352,20.0,80.0,0.0
1781736598,node,0,63.4,0.0,0.0,NA
1781736605,node,0,62.4,0.0,0.0,NA
1781736605,gateway,0,354,33.3,66.7,0.0
1781736613,node,0,61.3,25.0,25.0,25.0
1781736614,gateway,0,355,0.0,NA,0.0
1781736621,node,0,59.9,33.3,0.0,66.7
1781736622,gateway,0,356,20.0,80.0,0.0
1781736629,node,0,58.9,0.0,0.0,NA
1781736629,gateway,0,357,0.0,NA,0.0
1781736637,node,0,57.8,0.0,0.0,NA
1781736638,gateway,0,358,0.0,NA,0.0
1781736645,node,0,57.2,0.0,0.0,NA
1781736645,gateway,0,359,0.0,NA,0.0
1781736653,node,0,56.3,0.0,50.0,50.0
1781736653,gateway,0,359,0.0,NA,0.0
1781736661,node,0,55.4,0.0,50.0,50.0
1781736661,gateway,0,360,14.3,85.7,0.0
1781736668,node,0,54.8,0.0,0.0,NA
1781736668,gateway,0,361,0.0,NA,0.0
1781736675,node,0,54.3,0.0,0.0,NA
1781736675,gateway,0,362,0.0,83.3,16.7
1781736683,node,0,53.4,0.0,0.0,NA
1781736683,gateway,0,362,12.5,87.5,0.0
1781736690,node,0,52.9,0.0,0.0,NA
1781736692,gateway,0,363,0.0,0.0,NA
1781736699,node,0,52.1,0.0,0.0,NA
1781736699,gateway,0,364,0.0,NA,0.0
1781736707,node,0,51.7,25.0,25.0,50.0
1781736707,gateway,0,363,0.0,0.0,NA
1781736715,node,0,50.7,0.0,0.0,NA
1781736715,gateway,0,356,50.0,0.0,50.0
