ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781735541,node,0,0.4,0.0,0.0,NA
1781735542,node,1,0.4,0.0,25.0,50.0
1781735542,node,3,0.4,16.7,16.7,50.0
1781735542,gateway,3,NA,50.0,50.0,0.0
1781735542,gateway,1,NA,85.7,14.3,0.0
1781735542,gateway,0,NA,83.3,16.7,0.0
1781735542,gateway,4,NA,100.0,0.0,0.0
1781735542,gateway,2,NA,60.0,40.0,0.0
1781735542,node,4,0.4,0.0,0.0,NA
1781735543,node,2,0.3,0.0,7.1,71.4
1781735551,gateway,4,56.3,0.0,33.3,66.7
1781735551,node,0,15.3,33.3,33.3,33.3
1781735551,node,2,8.1,0.0,50.0,50.0
1781735551,gateway,2,0.4,0.0,0.0,NA
1781735551,node,1,7.9,0.0,0.0,NA
1781735551,node,3,12.6,0.0,0.0,66.7
1781735551,node,4,9.4,0.0,33.3,66.7
1781735551,gateway,0,0.9,0.0,0.0,NA
1781735551,gateway,1,NA,66.7,0.0,33.3
1781735551,gateway,3,NA,66.7,33.3,0.0
1781735558,gateway,4,64.3,0.0,50.0,50.0
1781735559,gateway,1,0.2,0.0,0.0,50.0
1781735559,node,0,34.1,50.0,0.0,50.0
1781735559,node,4,21.7,0.0,0.0,NA
1781735559,node,2,17.9,33.3,0.0,66.7
1781735559,node,1,19.1,0.0,0.0,NA
1781735559,gateway,2,0.4,0.0,0.0,50.0
1781735559,gateway,0,0.3,0.0,0.0,NA
1781735559,node,3,30.5,33.3,33.3,33.3
1781735559,gateway,3,0.2,0.0,0.0,50.0
1781735567,gateway,0,0.3,50.0,0.0,50.0
1781735567,node,1,29.4,33.3,33.3,33.3
1781735567,node,0,49.1,25.0,25.0,50.0
1781735567,node,3,47.6,50.0,0.0,50.0
1781735567,gateway,1,0.3,0.0,50.0,50.0
1781735567,gateway,3,0.3,0.0,50.0,50.0
1781735567,node,4,34.4,33.3,0.0,66.7
1781735567,gateway,2,0.4,0.0,0.0,NA
1781735567,node,2,27.3,0.0,25.0,50.0
1781735567,gateway,4,76.6,25.0,25.0,50.0
1781735575,gateway,3,0.4,0.0,0.0,NA
1781735575,node,4,46.2,66.7,0.0,33.3
1781735575,gateway,2,0.4,0.0,0.0,NA
1781735575,gateway,4,88.9,0.0,0.0,NA
1781735576,node,3,63.0,50.0,0.0,50.0
1781735576,node,1,40.0,0.0,0.0,50.0
1781735576,gateway,0,0.3,0.0,33.3,66.7
1781735576,node,2,37.2,50.0,0.0,50.0
1781735576,node,0,62.0,33.3,0.0,66.7
1781735576,gateway,1,0.3,0.0,33.3,66.7
1781735584,gateway,2,0.4,33.3,0.0,66.7
1781735584,node,3,78.1,0.0,50.0,50.0
1781735584,gateway,3,0.3,0.0,50.0,50.0
1781735584,node,0,75.8,25.0,25.0,0.0
1781735584,gateway,4,101,33.3,33.3,33.3
1781735584,node,1,50.2,40.0,0.0,40.0
1781735584,gateway,1,0.3,0.0,0.0,NA
1781735584,node,2,46.3,0.0,50.0,50.0
1781735584,node,4,58.6,0.0,50.0,50.0
1781735584,gateway,0,0.3,33.3,33.3,33.3
1781735592,gateway,2,0.4,0.0,33.3,66.7
1781735592,gateway,3,0.4,0.0,33.3,66.7
1781735592,gateway,1,0.3,0.0,0.0,NA
1781735592,node,1,60.7,50.0,25.0,25.0
1781735593,node,3,93.1,0.0,50.0,50.0
1781735593,node,4,70.8,0.0,50.0,50.0
1781735593,gateway,0,0.3,33.3,0.0,66.7
1781735593,node,0,89.1,50.0,25.0,25.0
1781735593,node,2,55.0,0.0,50.0,50.0
1781735593,gateway,4,115,0.0,0.0,50.0
1781735601,gateway,1,0.4,0.0,0.0,NA
1781735601,gateway,3,0.4,0.0,0.0,NA
1781735601,node,1,70.9,0.0,0.0,NA
1781735601,gateway,2,0.4,0.0,50.0,50.0
1781735601,gateway,4,126,100.0,0.0,0.0
1781735601,node,3,105,50.0,0.0,50.0
1781735601,node,0,100,50.0,0.0,50.0
1781735601,node,2,63.1,0.0,33.3,33.3
1781735601,gateway,0,0.4,0.0,0.0,NA
1781735601,node,4,81.9,50.0,25.0,25.0
1781735609,node,3,117,50.0,25.0,25.0
1781735609,gateway,0,0.3,0.0,0.0,NA
1781735609,gateway,1,0.3,0.0,0.0,NA
1781735609,gateway,3,0.3,0.0,0.0,NA
1781735609,node,0,111,66.7,33.3,0.0
1781735609,gateway,2,0.4,0.0,0.0,66.7
1781735609,node,1,80.2,33.3,33.3,33.3
1781735610,gateway,4,138,50.0,33.3,0.0
1781735610,node,2,71.4,25.0,25.0,25.0
1781735610,node,4,92.9,0.0,50.0,50.0
1781735617,node,4,102,33.3,33.3,33.3
1781735617,node,0,121,33.3,33.3,33.3
1781735618,gateway,4,149,66.7,33.3,0.0
1781735618,node,1,89.2,50.0,0.0,0.0
1781735618,gateway,3,0.4,0.0,0.0,NA
1781735618,gateway,0,0.3,0.0,0.0,NA
1781735618,gateway,1,0.3,0.0,33.3,66.7
1781735618,gateway,2,0.4,0.0,0.0,NA
1781735618,node,2,78.3,20.0,40.0,20.0
1781735618,node,3,129,0.0,33.3,33.3
1781735626,node,1,97.2,0.0,33.3,33.3
1781735626,gateway,2,0.5,0.0,0.0,NA
1781735626,gateway,3,0.4,33.3,33.3,33.3
1781735626,gateway,0,0.3,0.0,0.0,NA
1781735626,node,2,85.0,0.0,33.3,66.7
1781735626,gateway,1,0.3,0.0,0.0,NA
1781735626,node,3,140,100.0,0.0,0.0
1781735626,node,0,132,57.1,28.6,0.0
1781735626,node,4,112,25.0,50.0,0.0
1781735626,gateway,4,160,66.7,0.0,33.3
1781735633,gateway,4,168,75.0,25.0,0.0
1781735633,node,3,150,66.7,0.0,33.3
1781735634,gateway,2,0.5,0.0,33.3,66.7
1781735634,gateway,3,0.3,0.0,33.3,66.7
1781735634,node,0,141,42.9,28.6,14.3
1781735634,node,1,105,50.0,25.0,0.0
1781735634,node,2,91.2,66.7,0.0,33.3
1781735634,node,4,120,66.7,16.7,0.0
1781735634,gateway,0,0.3,0.0,33.3,66.7
1781735634,gateway,1,0.3,0.0,0.0,NA
1781735642,gateway,2,0.7,0.0,0.0,NA
1781735643,gateway,4,178,66.7,0.0,33.3
1781735643,gateway,3,0.5,0.0,50.0,50.0
1781735643,gateway,0,0.4,0.0,50.0,50.0
1781735643,node,1,112,0.0,NA,0.0
1781735643,node,2,97.5,100.0,0.0,0.0
1781735643,gateway,1,0.4,0.0,33.3,66.7
1781735643,node,0,151,20.0,40.0,20.0
1781735643,node,4,129,50.0,25.0,25.0
1781735643,node,3,160,33.3,66.7,0.0
1781735650,gateway,2,0.9,33.3,0.0,66.7
1781735651,gateway,1,0.4,0.0,0.0,NA
1781735651,node,4,137,33.3,33.3,0.0
1781735651,node,3,171,66.7,33.3,0.0
1781735651,node,2,103,50.0,0.0,50.0
1781735651,gateway,0,0.4,25.0,0.0,50.0
1781735651,node,1,120,0.0,0.0,NA
